,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
579,no checking account,24,existing credits paid back duly till now,retraining,937,< 100 DM,<1 year,4,male;married/widowed,bank,3,car or other,27,none,own,2,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now retraining 937 < 100 DM <1 year 4 male;married/widowed bank 3 car or other 27 none own 2 unskilled;resident 1 No Yes
580,0-200 DM,18,critical account/other credits existing (not at this bank),car(new),1056,< 100 DM,>=7 years,3,male;single,none,3,real estate,30,bank,own,2,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 18 critical account/other credits existing (not at this bank) car(new) 1056 < 100 DM >=7 years 3 male;single none 3 real estate 30 bank own 2 skilled employee;official 1 No Yes
581,0-200 DM,12,critical account/other credits existing (not at this bank),car(new),3124,< 100 DM,<1 year,1,male;single,bank,3,real estate,49,bank,own,2,unskilled;resident,2,No,Yes,__label__1,__label__1 0-200 DM 12 critical account/other credits existing (not at this bank) car(new) 3124 < 100 DM <1 year 1 male;single bank 3 real estate 49 bank own 2 unskilled;resident 2 No Yes
582,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,< 100 DM,1-4 years,4,female;divorced/separated/married,bank,2,real estate,26,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 9 existing credits paid back duly till now furniture/equipment 1388 < 100 DM 1-4 years 4 female;divorced/separated/married bank 2 real estate 26 none rent 1 skilled employee;official 1 No Yes
583,0-200 DM,36,existing credits paid back duly till now,repairs,2384,< 100 DM,<1 year,4,male;single,bank,1,unknown / no property,33,none,rent,1,unskilled;resident,1,No,Yes,__label__2,__label__2 0-200 DM 36 existing credits paid back duly till now repairs 2384 < 100 DM <1 year 4 male;single bank 1 unknown / no property 33 none rent 1 unskilled;resident 1 No Yes
584,no checking account,12,existing credits paid back duly till now,car(new),2133,unknown/no savings account,>=7 years,4,female;divorced/separated/married,bank,4,unknown / no property,52,none,for free,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now car(new) 2133 unknown/no savings account >=7 years 4 female;divorced/separated/married bank 4 unknown / no property 52 none for free 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
585,< 0,18,existing credits paid back duly till now,furniture/equipment,2039,< 100 DM,1-4 years,1,female;divorced/separated/married,bank,4,real estate,20,bank,rent,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 18 existing credits paid back duly till now furniture/equipment 2039 < 100 DM 1-4 years 1 female;divorced/separated/married bank 4 real estate 20 bank rent 1 skilled employee;official 1 No Yes
586,< 0,9,critical account/other credits existing (not at this bank),car(new),2799,< 100 DM,1-4 years,2,male;single,bank,2,real estate,36,none,rent,2,skilled employee;official,2,No,Yes,__label__1,__label__1 < 0 9 critical account/other credits existing (not at this bank) car(new) 2799 < 100 DM 1-4 years 2 male;single bank 2 real estate 36 none rent 2 skilled employee;official 2 No Yes
587,< 0,12,existing credits paid back duly till now,furniture/equipment,1289,< 100 DM,1-4 years,4,male;single,none,1,building society savings agreement/life insurance,21,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 < 0 12 existing credits paid back duly till now furniture/equipment 1289 < 100 DM 1-4 years 4 male;single none 1 building society savings agreement/life insurance 21 none own 1 unskilled;resident 1 No Yes
588,< 0,18,existing credits paid back duly till now,domestic appliances,1217,< 100 DM,1-4 years,4,male;married/widowed,bank,3,real estate,47,none,own,1,unskilled;resident,1,Yes,Yes,__label__2,__label__2 < 0 18 existing credits paid back duly till now domestic appliances 1217 < 100 DM 1-4 years 4 male;married/widowed bank 3 real estate 47 none own 1 unskilled;resident 1 Yes Yes
589,< 0,12,critical account/other credits existing (not at this bank),furniture/equipment,2246,< 100 DM,>=7 years,3,male;single,bank,3,building society savings agreement/life insurance,60,none,own,2,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 12 critical account/other credits existing (not at this bank) furniture/equipment 2246 < 100 DM >=7 years 3 male;single bank 3 building society savings agreement/life insurance 60 none own 2 skilled employee;official 1 No Yes
590,< 0,12,critical account/other credits existing (not at this bank),radio/television,385,< 100 DM,4-7 years,4,female;divorced/separated/married,bank,3,real estate,58,none,own,4,unskilled;resident,1,Yes,Yes,__label__1,__label__1 < 0 12 critical account/other credits existing (not at this bank) radio/television 385 < 100 DM 4-7 years 4 female;divorced/separated/married bank 3 real estate 58 none own 4 unskilled;resident 1 Yes Yes
591,0-200 DM,24,delay in paying off in the past,car(new),1965,unknown/no savings account,1-4 years,4,female;divorced/separated/married,bank,4,car or other,42,none,rent,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 24 delay in paying off in the past car(new) 1965 unknown/no savings account 1-4 years 4 female;divorced/separated/married bank 4 car or other 42 none rent 2 skilled employee;official 1 Yes Yes
592,no checking account,21,existing credits paid back duly till now,business,1572,>=1000 DM,>=7 years,4,female;divorced/separated/married,bank,4,real estate,36,bank,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 21 existing credits paid back duly till now business 1572 >=1000 DM >=7 years 4 female;divorced/separated/married bank 4 real estate 36 bank own 1 unskilled;resident 1 No Yes
593,0-200 DM,24,existing credits paid back duly till now,car(new),2718,< 100 DM,1-4 years,3,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,20,none,rent,1,unskilled;resident,1,Yes,Yes,__label__2,__label__2 0-200 DM 24 existing credits paid back duly till now car(new) 2718 < 100 DM 1-4 years 3 female;divorced/separated/married bank 4 building society savings agreement/life insurance 20 none rent 1 unskilled;resident 1 Yes Yes
594,< 0,24,all credits at this bank paid back duly,others,1358,unknown/no savings account,>=7 years,4,male;single,bank,3,car or other,40,stores,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 < 0 24 all credits at this bank paid back duly others 1358 unknown/no savings account >=7 years 4 male;single bank 3 car or other 40 stores own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
595,0-200 DM,6,all credits at this bank paid back duly,car(new),931,100-500 DM,<1 year,1,female;divorced/separated/married,bank,1,building society savings agreement/life insurance,32,stores,own,1,unskilled;resident,1,No,Yes,__label__2,__label__2 0-200 DM 6 all credits at this bank paid back duly car(new) 931 100-500 DM <1 year 1 female;divorced/separated/married bank 1 building society savings agreement/life insurance 32 stores own 1 unskilled;resident 1 No Yes
596,< 0,24,existing credits paid back duly till now,car(new),1442,< 100 DM,4-7 years,4,female;divorced/separated/married,bank,4,car or other,23,none,rent,2,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 24 existing credits paid back duly till now car(new) 1442 < 100 DM 4-7 years 4 female;divorced/separated/married bank 4 car or other 23 none rent 2 skilled employee;official 1 No Yes
597,0-200 DM,24,no credits taken/all credits paid back duly,business,4241,< 100 DM,1-4 years,1,male;single,bank,4,real estate,36,none,own,3,unskilled;resident,1,Yes,Yes,__label__2,__label__2 0-200 DM 24 no credits taken/all credits paid back duly business 4241 < 100 DM 1-4 years 1 male;single bank 4 real estate 36 none own 3 unskilled;resident 1 Yes Yes
598,no checking account,18,critical account/other credits existing (not at this bank),car(new),2775,< 100 DM,4-7 years,2,male;single,bank,2,building society savings agreement/life insurance,31,bank,own,2,skilled employee;official,1,No,Yes,__label__2,__label__2 no checking account 18 critical account/other credits existing (not at this bank) car(new) 2775 < 100 DM 4-7 years 2 male;single bank 2 building society savings agreement/life insurance 31 bank own 2 skilled employee;official 1 No Yes
599,no checking account,24,delay in paying off in the past,business,3863,< 100 DM,1-4 years,1,male;single,bank,2,unknown / no property,32,none,for free,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 24 delay in paying off in the past business 3863 < 100 DM 1-4 years 1 male;single bank 2 unknown / no property 32 none for free 1 skilled employee;official 1 No Yes
600,0-200 DM,7,existing credits paid back duly till now,radio/television,2329,< 100 DM,<1 year,1,female;divorced/separated/married,none,1,real estate,45,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 7 existing credits paid back duly till now radio/television 2329 < 100 DM <1 year 1 female;divorced/separated/married none 1 real estate 45 none own 1 skilled employee;official 1 No Yes
601,0-200 DM,9,existing credits paid back duly till now,furniture/equipment,918,< 100 DM,1-4 years,4,female;divorced/separated/married,bank,1,building society savings agreement/life insurance,30,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 9 existing credits paid back duly till now furniture/equipment 918 < 100 DM 1-4 years 4 female;divorced/separated/married bank 1 building society savings agreement/life insurance 30 none own 1 skilled employee;official 1 No Yes
602,0-200 DM,24,all credits at this bank paid back duly,education,1837,< 100 DM,4-7 years,4,female;divorced/separated/married,bank,4,unknown / no property,34,bank,for free,1,unskilled;resident,1,No,Yes,__label__2,__label__2 0-200 DM 24 all credits at this bank paid back duly education 1837 < 100 DM 4-7 years 4 female;divorced/separated/married bank 4 unknown / no property 34 bank for free 1 unskilled;resident 1 No Yes
603,no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,< 100 DM,1-4 years,4,female;divorced/separated/married,bank,2,car or other,28,none,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 no checking account 36 existing credits paid back duly till now furniture/equipment 3349 < 100 DM 1-4 years 4 female;divorced/separated/married bank 2 car or other 28 none own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
604,>=200 DM,10,existing credits paid back duly till now,furniture/equipment,1275,< 100 DM,<1 year,4,female;divorced/separated/married,bank,2,building society savings agreement/life insurance,23,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 >=200 DM 10 existing credits paid back duly till now furniture/equipment 1275 < 100 DM <1 year 4 female;divorced/separated/married bank 2 building society savings agreement/life insurance 23 none own 1 skilled employee;official 1 No Yes
605,< 0,24,all credits at this bank paid back duly,furniture/equipment,2828,500-1000 DM,1-4 years,4,male;single,bank,4,real estate,22,stores,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 < 0 24 all credits at this bank paid back duly furniture/equipment 2828 500-1000 DM 1-4 years 4 male;single bank 4 real estate 22 stores own 1 skilled employee;official 1 Yes Yes
606,no checking account,24,critical account/other credits existing (not at this bank),business,4526,< 100 DM,1-4 years,3,male;single,bank,2,real estate,74,none,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) business 4526 < 100 DM 1-4 years 3 male;single bank 2 real estate 74 none own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
607,0-200 DM,36,existing credits paid back duly till now,radio/television,2671,100-500 DM,1-4 years,4,female;divorced/separated/married,stores,4,unknown / no property,50,none,for free,1,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 36 existing credits paid back duly till now radio/television 2671 100-500 DM 1-4 years 4 female;divorced/separated/married stores 4 unknown / no property 50 none for free 1 skilled employee;official 1 No Yes
608,no checking account,18,existing credits paid back duly till now,radio/television,2051,< 100 DM,<1 year,4,male;single,bank,1,real estate,33,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 18 existing credits paid back duly till now radio/television 2051 < 100 DM <1 year 4 male;single bank 1 real estate 33 none own 1 skilled employee;official 1 No Yes
609,no checking account,15,existing credits paid back duly till now,car(used),1300,unknown/no savings account,>=7 years,4,male;single,bank,4,unknown / no property,45,bank,for free,1,skilled employee;official,2,No,Yes,__label__1,__label__1 no checking account 15 existing credits paid back duly till now car(used) 1300 unknown/no savings account >=7 years 4 male;single bank 4 unknown / no property 45 bank for free 1 skilled employee;official 2 No Yes
610,< 0,12,existing credits paid back duly till now,domestic appliances,741,100-500 DM,unemployed,4,female;divorced/separated/married,bank,3,building society savings agreement/life insurance,22,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 12 existing credits paid back duly till now domestic appliances 741 100-500 DM unemployed 4 female;divorced/separated/married bank 3 building society savings agreement/life insurance 22 none own 1 skilled employee;official 1 No Yes
611,>=200 DM,10,existing credits paid back duly till now,car(new),1240,100-500 DM,>=7 years,1,female;divorced/separated/married,bank,4,unknown / no property,48,none,for free,1,unskilled;resident,2,No,Yes,__label__2,__label__2 >=200 DM 10 existing credits paid back duly till now car(new) 1240 100-500 DM >=7 years 1 female;divorced/separated/married bank 4 unknown / no property 48 none for free 1 unskilled;resident 2 No Yes
612,< 0,21,existing credits paid back duly till now,radio/television,3357,>=1000 DM,<1 year,4,female;divorced/separated/married,bank,2,car or other,29,bank,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 21 existing credits paid back duly till now radio/television 3357 >=1000 DM <1 year 4 female;divorced/separated/married bank 2 car or other 29 bank own 1 skilled employee;official 1 No Yes
613,< 0,24,all credits at this bank paid back duly,car(used),3632,< 100 DM,1-4 years,1,female;divorced/separated/married,none,4,car or other,22,bank,rent,1,skilled employee;official,1,No,No,__label__1,__label__1 < 0 24 all credits at this bank paid back duly car(used) 3632 < 100 DM 1-4 years 1 female;divorced/separated/married none 4 car or other 22 bank rent 1 skilled employee;official 1 No No
614,no checking account,18,delay in paying off in the past,furniture/equipment,1808,< 100 DM,4-7 years,4,female;divorced/separated/married,bank,1,real estate,22,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 no checking account 18 delay in paying off in the past furniture/equipment 1808 < 100 DM 4-7 years 4 female;divorced/separated/married bank 1 real estate 22 none own 1 skilled employee;official 1 No Yes
615,0-200 DM,48,no credits taken/all credits paid back duly,business,12204,unknown/no savings account,1-4 years,2,male;single,bank,2,car or other,48,bank,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 0-200 DM 48 no credits taken/all credits paid back duly business 12204 unknown/no savings account 1-4 years 2 male;single bank 2 car or other 48 bank own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
616,0-200 DM,60,delay in paying off in the past,radio/television,9157,unknown/no savings account,1-4 years,2,male;single,bank,2,unknown / no property,27,none,for free,1,management/self-employed/highly qualified employee/officer,1,No,Yes,__label__1,__label__1 0-200 DM 60 delay in paying off in the past radio/television 9157 unknown/no savings account 1-4 years 2 male;single bank 2 unknown / no property 27 none for free 1 management/self-employed/highly qualified employee/officer 1 No Yes
617,< 0,6,critical account/other credits existing (not at this bank),car(new),3676,< 100 DM,1-4 years,1,male;single,bank,3,real estate,37,none,rent,3,skilled employee;official,2,No,Yes,__label__1,__label__1 < 0 6 critical account/other credits existing (not at this bank) car(new) 3676 < 100 DM 1-4 years 1 male;single bank 3 real estate 37 none rent 3 skilled employee;official 2 No Yes
618,0-200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100-500 DM,1-4 years,2,female;divorced/separated/married,stores,4,car or other,21,none,rent,1,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 30 existing credits paid back duly till now furniture/equipment 3441 100-500 DM 1-4 years 2 female;divorced/separated/married stores 4 car or other 21 none rent 1 skilled employee;official 1 No Yes
619,no checking account,12,existing credits paid back duly till now,car(new),640,< 100 DM,1-4 years,4,male;divorced/separated,bank,2,real estate,49,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now car(new) 640 < 100 DM 1-4 years 4 male;divorced/separated bank 2 real estate 49 none own 1 unskilled;resident 1 No Yes
620,0-200 DM,21,critical account/other credits existing (not at this bank),business,3652,< 100 DM,4-7 years,2,male;single,bank,3,building society savings agreement/life insurance,27,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 21 critical account/other credits existing (not at this bank) business 3652 < 100 DM 4-7 years 2 male;single bank 3 building society savings agreement/life insurance 27 none own 2 skilled employee;official 1 No Yes
621,no checking account,18,critical account/other credits existing (not at this bank),car(new),1530,< 100 DM,1-4 years,3,male;single,bank,2,building society savings agreement/life insurance,32,bank,own,2,skilled employee;official,1,No,Yes,__label__2,__label__2 no checking account 18 critical account/other credits existing (not at this bank) car(new) 1530 < 100 DM 1-4 years 3 male;single bank 2 building society savings agreement/life insurance 32 bank own 2 skilled employee;official 1 No Yes
622,no checking account,48,existing credits paid back duly till now,business,3914,unknown/no savings account,1-4 years,4,male;divorced/separated,bank,2,real estate,38,bank,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 no checking account 48 existing credits paid back duly till now business 3914 unknown/no savings account 1-4 years 4 male;divorced/separated bank 2 real estate 38 bank own 1 skilled employee;official 1 No Yes
623,< 0,12,existing credits paid back duly till now,furniture/equipment,1858,< 100 DM,<1 year,4,female;divorced/separated/married,bank,1,car or other,22,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 12 existing credits paid back duly till now furniture/equipment 1858 < 100 DM <1 year 4 female;divorced/separated/married bank 1 car or other 22 none rent 1 skilled employee;official 1 No Yes
624,< 0,18,existing credits paid back duly till now,radio/television,2600,< 100 DM,1-4 years,4,male;single,bank,4,unknown / no property,65,none,for free,2,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 18 existing credits paid back duly till now radio/television 2600 < 100 DM 1-4 years 4 male;single bank 4 unknown / no property 65 none for free 2 skilled employee;official 1 No Yes
625,no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/no savings account,>=7 years,4,male;single,bank,2,car or other,35,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 15 existing credits paid back duly till now radio/television 1979 unknown/no savings account >=7 years 4 male;single bank 2 car or other 35 none own 1 skilled employee;official 1 No Yes
626,>=200 DM,6,existing credits paid back duly till now,furniture/equipment,2116,< 100 DM,1-4 years,2,male;single,bank,2,real estate,41,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 >=200 DM 6 existing credits paid back duly till now furniture/equipment 2116 < 100 DM 1-4 years 2 male;single bank 2 real estate 41 none own 1 skilled employee;official 1 Yes Yes
627,0-200 DM,9,all credits at this bank paid back duly,car(new),1437,100-500 DM,4-7 years,2,male;single,bank,3,unknown / no property,29,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 0-200 DM 9 all credits at this bank paid back duly car(new) 1437 100-500 DM 4-7 years 2 male;single bank 3 unknown / no property 29 none own 1 skilled employee;official 1 No Yes
628,no checking account,42,critical account/other credits existing (not at this bank),furniture/equipment,4042,500-1000 DM,1-4 years,4,male;single,bank,4,real estate,36,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 42 critical account/other credits existing (not at this bank) furniture/equipment 4042 500-1000 DM 1-4 years 4 male;single bank 4 real estate 36 none own 2 skilled employee;official 1 Yes Yes
629,no checking account,9,existing credits paid back duly till now,education,3832,unknown/no savings account,>=7 years,1,male;single,bank,4,real estate,64,none,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 9 existing credits paid back duly till now education 3832 unknown/no savings account >=7 years 1 male;single bank 4 real estate 64 none own 1 unskilled;resident 1 No Yes
630,< 0,24,existing credits paid back duly till now,radio/television,3660,< 100 DM,1-4 years,2,female;divorced/separated/married,bank,4,car or other,28,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 24 existing credits paid back duly till now radio/television 3660 < 100 DM 1-4 years 2 female;divorced/separated/married bank 4 car or other 28 none own 1 skilled employee;official 1 No Yes
631,< 0,18,all credits at this bank paid back duly,furniture/equipment,1553,< 100 DM,1-4 years,4,male;single,bank,3,car or other,44,bank,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 18 all credits at this bank paid back duly furniture/equipment 1553 < 100 DM 1-4 years 4 male;single bank 3 car or other 44 bank own 1 skilled employee;official 1 No Yes
632,0-200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/no savings account,<1 year,4,male;single,bank,1,building society savings agreement/life insurance,23,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 15 existing credits paid back duly till now radio/television 1444 unknown/no savings account <1 year 4 male;single bank 1 building society savings agreement/life insurance 23 none own 1 skilled employee;official 1 No Yes
633,no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,< 100 DM,<1 year,2,female;divorced/separated/married,stores,2,car or other,19,none,rent,2,skilled employee;official,1,No,Yes,__label__2,__label__2 no checking account 9 existing credits paid back duly till now furniture/equipment 1980 < 100 DM <1 year 2 female;divorced/separated/married stores 2 car or other 19 none rent 2 skilled employee;official 1 No Yes
634,0-200 DM,24,existing credits paid back duly till now,car(new),1355,< 100 DM,<1 year,3,female;divorced/separated/married,bank,4,car or other,25,none,own,1,unskilled;resident,1,Yes,Yes,__label__2,__label__2 0-200 DM 24 existing credits paid back duly till now car(new) 1355 < 100 DM <1 year 3 female;divorced/separated/married bank 4 car or other 25 none own 1 unskilled;resident 1 Yes Yes
635,no checking account,12,existing credits paid back duly till now,education,1393,< 100 DM,>=7 years,4,male;single,bank,4,building society savings agreement/life insurance,47,bank,own,3,skilled employee;official,2,Yes,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now education 1393 < 100 DM >=7 years 4 male;single bank 4 building society savings agreement/life insurance 47 bank own 3 skilled employee;official 2 Yes Yes
636,no checking account,24,existing credits paid back duly till now,radio/television,1376,500-1000 DM,4-7 years,4,female;divorced/separated/married,bank,1,car or other,28,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now radio/television 1376 500-1000 DM 4-7 years 4 female;divorced/separated/married bank 1 car or other 28 none own 1 skilled employee;official 1 No Yes
637,no checking account,60,delay in paying off in the past,radio/television,15653,< 100 DM,4-7 years,2,male;single,bank,4,car or other,21,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 60 delay in paying off in the past radio/television 15653 < 100 DM 4-7 years 2 male;single bank 4 car or other 21 none own 2 skilled employee;official 1 Yes Yes
638,no checking account,12,existing credits paid back duly till now,radio/television,1493,< 100 DM,<1 year,4,female;divorced/separated/married,bank,3,car or other,34,none,own,1,skilled employee;official,2,No,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now radio/television 1493 < 100 DM <1 year 4 female;divorced/separated/married bank 3 car or other 34 none own 1 skilled employee;official 2 No Yes
639,< 0,42,delay in paying off in the past,radio/television,4370,< 100 DM,4-7 years,3,male;single,bank,2,building society savings agreement/life insurance,26,bank,own,2,skilled employee;official,2,Yes,Yes,__label__2,__label__2 < 0 42 delay in paying off in the past radio/television 4370 < 100 DM 4-7 years 3 male;single bank 2 building society savings agreement/life insurance 26 bank own 2 skilled employee;official 2 Yes Yes
640,< 0,18,existing credits paid back duly till now,education,750,< 100 DM,unemployed,4,female;divorced/separated/married,bank,1,real estate,27,none,own,1,unemployed/unskilled;non-resident,1,No,Yes,__label__2,__label__2 < 0 18 existing credits paid back duly till now education 750 < 100 DM unemployed 4 female;divorced/separated/married bank 1 real estate 27 none own 1 unemployed/unskilled;non-resident 1 No Yes
641,0-200 DM,15,existing credits paid back duly till now,repairs,1308,< 100 DM,>=7 years,4,male;single,bank,4,car or other,38,none,own,2,unskilled;resident,1,No,Yes,__label__1,__label__1 0-200 DM 15 existing credits paid back duly till now repairs 1308 < 100 DM >=7 years 4 male;single bank 4 car or other 38 none own 2 unskilled;resident 1 No Yes
642,no checking account,15,existing credits paid back duly till now,education,4623,100-500 DM,1-4 years,3,male;single,bank,2,building society savings agreement/life insurance,40,none,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 no checking account 15 existing credits paid back duly till now education 4623 100-500 DM 1-4 years 3 male;single bank 2 building society savings agreement/life insurance 40 none own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
643,no checking account,24,critical account/other credits existing (not at this bank),radio/television,1851,< 100 DM,4-7 years,4,male;married/widowed,none,2,car or other,33,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) radio/television 1851 < 100 DM 4-7 years 4 male;married/widowed none 2 car or other 33 none own 2 skilled employee;official 1 Yes Yes
644,< 0,18,critical account/other credits existing (not at this bank),radio/television,1880,< 100 DM,4-7 years,4,male;married/widowed,bank,1,building society savings agreement/life insurance,32,none,own,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 < 0 18 critical account/other credits existing (not at this bank) radio/television 1880 < 100 DM 4-7 years 4 male;married/widowed bank 1 building society savings agreement/life insurance 32 none own 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
645,no checking account,36,delay in paying off in the past,business,7980,unknown/no savings account,<1 year,4,male;single,bank,4,car or other,27,none,rent,2,skilled employee;official,1,Yes,Yes,__label__2,__label__2 no checking account 36 delay in paying off in the past business 7980 unknown/no savings account <1 year 4 male;single bank 4 car or other 27 none rent 2 skilled employee;official 1 Yes Yes
646,< 0,30,no credits taken/all credits paid back duly,furniture/equipment,4583,< 100 DM,1-4 years,2,male;divorced/separated,none,2,real estate,32,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 30 no credits taken/all credits paid back duly furniture/equipment 4583 < 100 DM 1-4 years 2 male;divorced/separated none 2 real estate 32 none own 2 skilled employee;official 1 No Yes
647,no checking account,12,existing credits paid back duly till now,car(new),1386,500-1000 DM,1-4 years,2,female;divorced/separated/married,bank,2,building society savings agreement/life insurance,26,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 no checking account 12 existing credits paid back duly till now car(new) 1386 500-1000 DM 1-4 years 2 female;divorced/separated/married bank 2 building society savings agreement/life insurance 26 none own 1 skilled employee;official 1 No Yes
648,>=200 DM,24,existing credits paid back duly till now,car(new),947,< 100 DM,4-7 years,4,male;single,bank,3,unknown / no property,38,bank,for free,1,skilled employee;official,2,No,Yes,__label__2,__label__2 >=200 DM 24 existing credits paid back duly till now car(new) 947 < 100 DM 4-7 years 4 male;single bank 3 unknown / no property 38 bank for free 1 skilled employee;official 2 No Yes
649,< 0,12,existing credits paid back duly till now,education,684,< 100 DM,1-4 years,4,male;single,bank,4,car or other,40,none,rent,1,unskilled;resident,2,No,Yes,__label__2,__label__2 < 0 12 existing credits paid back duly till now education 684 < 100 DM 1-4 years 4 male;single bank 4 car or other 40 none rent 1 unskilled;resident 2 No Yes
650,< 0,48,existing credits paid back duly till now,education,7476,< 100 DM,4-7 years,4,male;single,bank,1,unknown / no property,50,none,for free,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 < 0 48 existing credits paid back duly till now education 7476 < 100 DM 4-7 years 4 male;single bank 1 unknown / no property 50 none for free 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
651,0-200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,< 100 DM,1-4 years,4,male;single,bank,2,building society savings agreement/life insurance,37,none,own,1,unskilled;resident,1,No,Yes,__label__2,__label__2 0-200 DM 12 existing credits paid back duly till now furniture/equipment 1922 < 100 DM 1-4 years 4 male;single bank 2 building society savings agreement/life insurance 37 none own 1 unskilled;resident 1 No Yes
652,< 0,24,existing credits paid back duly till now,car(new),2303,< 100 DM,>=7 years,4,male;single,stores,1,real estate,45,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 24 existing credits paid back duly till now car(new) 2303 < 100 DM >=7 years 4 male;single stores 1 real estate 45 none own 1 skilled employee;official 1 No Yes
653,0-200 DM,36,delay in paying off in the past,car(new),8086,100-500 DM,>=7 years,2,male;single,bank,4,car or other,42,none,own,4,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 0-200 DM 36 delay in paying off in the past car(new) 8086 100-500 DM >=7 years 2 male;single bank 4 car or other 42 none own 4 management/self-employed/highly qualified employee/officer 1 Yes Yes
